"Ticker","Alpha","HML","RMW","CMA","Residual_Variance","Mkt.RF","Mom","SMB","VARIANCE","NET_ISSUES","ACCRUAL","Expected_Return","Expected_Var","Expected_SD","Expected_Sharpe","Actual_Return","Actual_SD","Max_Draw_Down","Actual_Var","Actual_Sharpe"
"AGG",0.217208152160963,-0.226769298759976,0.124076583472241,0.174806662603739,0.542454964604085,0,0,0,0,0,0,2.56470691172539,9.68981372641099,3.11284656326183,0.823910481806059,2.03023898549004,3.04216897051825,4.07492135541405,9.25479204518407,0.667365621425091
"BKLN",0.122723221501236,0,0,0,0.385528261511957,0.164701666663242,-0.0712148273794818,0,0,0,0,2.20834112160746,12.7708387903351,3.57363103724141,0.617954427469978,3.40390497250802,3.03474332825468,5.55006820188293,9.20966706838627,1.12164509624794
"BND",0.205160732707861,-0.232712737166726,0.13445767826373,0.167813627981091,0.588518633479275,0,0,0,0,0,0,2.40075496492087,10.5642259724925,3.25026552338306,0.738633489371671,1.84399753641118,3.16846781179582,4.00596450875033,10.0391882743862,0.581983989089679
"BNDS",0.208713975598316,-0.155960160579238,0.156294480364269,0,0.588467770793667,0,0,0,0,0,0,2.32750664442225,10.5692840607425,3.25104353411985,0.715926015753084,1.88914007401548,3.04313834198976,3.93283839975965,9.26069096848817,0.62078678709699
"BSCH",0.118673226203748,0,0,0,0.314053758480207,0.0599087824790768,0,-0.0606045497189453,0,0,0,1.7929328403816,4.69572451548608,2.16696204754169,0.827394666378948,2.19336881060688,2.05641507131679,2.83748639098285,4.22884294553884,1.06659829584034
"CBND",0.291636848858089,-0.10463974568284,0,0,1.45161758188771,0,0,0,0,0,0,3.12422109945101,18.463833919707,4.29695635534119,0.727077689669235,3.11043533515512,4.25226706694992,6.02015165089657,18.0817752086669,0.731476947751115
"CIU",0.185269902683432,-0.0943008323046902,0.114563817802461,0,0.483676866578406,0.0448546967787547,0,0,0,0,0,2.54351459424353,7.8309338652068,2.79838057905046,0.908923758721408,2.44140231321504,2.60560476089224,3.23007514088252,6.78917616998429,0.93698106092615
"CLY",0.45529780663113,-0.276411801146418,0.388691352208613,0,5.53853677353095,0,0,0,0,0,0,5.54508687099216,81.5805093353974,9.03219294166136,0.613924758561701,4.07473855086431,8.68764223855274,11.0972509247566,75.4751276650856,0.469026974060009
"CMBS",0.250806702176343,-0.160056978308287,0,0,0.592126495067979,0,0,0,0,0,0,2.39422032452259,9.54913009940873,3.09016667825681,0.774786791071474,2.46933683996808,2.9419782767862,3.78353019796708,8.6552361810819,0.83934570810821
"CORP",0.331020976110443,-0.164257796186636,0.193240058298715,0,1.47171864558527,0,0,0,0,0,0,3.90578328148643,22.1114146136937,4.70227759853602,0.83061520712908,3.28970459505595,4.51565502221307,5.77413253876565,20.3911402796381,0.728511052964295
"CRED",0.293119058911219,-0.135553307561906,0.172468284459326,0,1.419827281706,0,0,0,0,0,0,3.4962910480306,20.3073111419184,4.50636340544328,0.775856435325964,2.93598116324962,4.36114429363,5.92985802025623,19.0195795498615,0.673213488381477
"CSD",-0.109148005105657,0,0.522058582281415,0,3.81823009220238,1.12110099593062,0.147612444163727,0.335271082935186,-0.16380320028945,0,0,10.9128310509858,446.571112391358,21.1322292338352,0.516406997587982,13.0177231271973,14.9853674107425,24.8196357864715,224.561236434944,0.868695626232385
"CSJ",0.0842138598189309,0,0,0,0.0446602291839686,0.0175431089916638,0,0,0,0,0,1.15691016789641,0.608099561972347,0.779807387739015,1.48358451854473,1.24499017590896,0.755517931867753,0.571840482609565,0.570807345373726,1.64786317226271
"CSM",0.0169688590262064,0,0.109943938959336,0,0.268344512734047,1.04885595564196,0,-0.0620305628690039,0.0534006119072176,0,0,9.33352647840779,230.056555591732,15.1676153561373,0.615358858940944,14.3058892050971,10.699159791478,9.06168293140169,114.472020243579,1.33710398609916
"CWB",0.176393648600652,0,0.194236106602466,0,0.746539949164676,0.565772461261029,0,-0.268492490993188,-0.173177143649409,-0.204620589670496,0,4.98432584463346,132.672456629221,11.5183530345801,0.432729039444236,9.20241003433424,7.98881862931182,11.1328703159977,63.8212230920395,1.15191124762423
"CZA",0.115052555604553,0,0,0,0.800759110169019,0.896095993178851,0,0,0,0,-0.153237755242902,8.2617226760066,202.158844779986,14.2182574452703,0.581064360932277,13.1649485667774,10.2403801782437,12.536034845098,104.865386194967,1.28559177858914
"DEF",0.123430610396223,-0.339156092248395,0.332449175752917,0.706358792411631,2.10901618857161,0.684390782895488,0,0,0,0,0,8.85976681294034,117.99425759491,10.8625161723659,0.815627491122131,10.2836647749164,8.89882241624217,10.1337550793047,79.1890403958142,1.15562085564789
"DES",0.03031549881613,0,0.146583156090275,0.443791812873187,0.754940460711289,1.01977924225768,0,0.844548968793115,0.115919646816834,0,0,13.0753451150833,298.899869979393,17.2887208890477,0.75629337757234,14.8587313717222,13.4201840214575,12.9670010906756,180.101339169783,1.10719281851609
"DHS",0.102274900180148,-0.320401555552478,0,0.711703235000864,1.2347809155824,0.844608282739333,-0.108366338563813,0,0.154083357194763,0,0.167354413250038,9.40373494640405,134.098406937004,11.5800866549868,0.812060844324894,12.7258245144884,9.34760790159439,8.95928124233718,87.3777734819499,1.36139904973098
"DIA",-0.129520631440022,0,0,0.178962792998738,0.434624833357788,0.994381173153287,0,0,0,0.185294894390615,0,8.19767755939349,208.850217363113,14.4516510255096,0.567248513330637,11.6485226084186,10.6725840659371,9.03808192315694,113.904050644494,1.09144350950547
"DLN",-0.0447460160161123,-0.0912905697101862,0,0.267355948104425,0.256668356199684,0.953368657192764,-0.0976549107265097,0,0.142817705071584,0,0.0919462504233587,7.80005489743105,163.394537917874,12.7825872935753,0.610209398010639,12.3474458429868,9.59741751228961,9.06495293364333,92.1104229052033,1.286538365886
"DON",0.114058888227006,0,0.20706842234545,0.34106190476999,0.998994510533454,0.95228418391621,0,0.136806846738506,0.088546421410797,-0.205949476316087,0,10.4952944536388,193.71389420803,13.9181138883122,0.754074477178425,15.0416907943324,10.4534587993722,8.81297643193971,109.274800870171,1.43891998648675
"DSI",-0.0717276652724247,0,0,0,0.203828774107469,1.0080900152547,0.0282247919558575,-0.105331593760559,0,0,0,7.46500026705346,231.059184984513,15.2006310719165,0.491098049267521,12.5563958407958,10.5371669798077,8.50126020806257,111.03188796035,1.19162919832793
"DTD",-0.0380767126541946,-0.0875179699641566,0,0.281864697983541,0.304268975147159,0.964464033214432,-0.06455714402826,0,0.133783055632244,0,0,7.93316524023429,168.48125432362,12.9800329091886,0.611182213152815,12.5962693898297,9.71103081793192,9.09667212324443,94.3041195468235,1.29710940331587
"DTN",0.0473221425611803,-0.312568885607578,0,0.642478016978738,0.690434063839834,0.909099241043396,-0.17990463458977,0,0.133121792424588,0,0,7.64899662045426,159.76095816759,12.6396581507409,0.605158504227895,12.2435606907366,9.8909758271967,11.5376411454319,97.8314028141894,1.2378516442302
"DVY",0.215948604286587,-0.191033077586406,0,0.587499677942037,1.80351869593441,0.798425006314215,0,0.180548566370932,0.170084543169447,0,0,11.4536157430912,125.09254891076,11.1844780347927,1.02406350188728,14.129013652093,9.18654489459175,6.10953765789201,84.3926071003497,1.53801171324063
"DWAQ",-0.238762305078255,0,0,-0.325025101166632,2.19247257621479,1.08521348260307,0.353165904464436,0.267934196488245,-0.222965318385615,0,0,7.86815198525221,520.989175951872,22.825187314716,0.344713577889431,11.0842422691648,15.1019541932736,19.5263484467419,228.069020455734,0.733960792577543
"EES",-0.0934584853547962,0.378678994367875,0.165975006326244,-0.163268166045334,0.42371112082057,1.05337456255856,-0.0676776343033708,0.970081283492375,0.0688954683571229,0,0,10.9938854459335,395.796190657242,19.8946271806546,0.552605753608887,13.4285164567127,15.4687666970446,16.9775000694323,239.282743127595,0.868105177336363
"EPS",-0.0779405044083713,0.0824919355265678,0,-0.149213959605769,0.137167517810545,1.03113035105055,-0.0531571432634794,0,0.059220265941173,0.109334109839402,-0.0477799716943016,7.64198893549548,227.076356520736,15.0690529404052,0.50713133504261,12.5530005579261,10.8440921084271,9.6817095562592,117.59433365605,1.15758889102122
"EQL",-0.025662493316608,-0.0636110634094177,0,0.249102490863405,0.194269226446957,0.930088746424829,0,-0.110446254879568,0,0,0,7.61332804452062,185.224391738315,13.6097168133035,0.55940385453712,12.1866915417394,9.71012629274053,9.32764163378557,94.2865526209709,1.25504974645391
"EQWL",0.0388273516696416,0,0,0,0.794144965596134,1.00334892650442,0,0,0,0.241628694077971,-0.11027821760867,9.7820043818309,226.450720310626,15.0482796462129,0.650041374283782,13.4992105263176,11.0448474503851,10.507821395343,121.988655202278,1.2222179244175
"EQWM",0.042907472959434,0,0.231505538452403,0,0.540626076503434,0.942793353035992,0,0,-0.165996085543465,0.129516053881461,-0.248962008560374,8.10627824725625,273.556292301861,16.5395372456989,0.490115178365361,11.9551021729432,11.7725354431015,16.5518442227658,138.592590759081,1.01550785136508
"EQWS",0.0662091886031993,0,0,0,1.32172888121633,0.945118815708711,0,0.533573933013611,-0.195826483026331,0.443930916267381,-0.341541738996639,10.2723032695597,379.844690967419,19.4896046898704,0.527065758029388,11.7610807920776,14.526645759571,22.0490258133458,211.023437024061,0.809621228928828
"EUSA",0.0777885972071151,-0.0610155858913455,0.172172069774412,0,0.210518913009074,0.950079811992499,0,-0.0523927061982805,-0.122854509281106,0.125229510434378,-0.0910272310275561,8.85863146383783,248.928635469243,15.7774724043252,0.561473424691864,12.7530862828405,10.9016929998418,12.2382034857598,118.8469102628,1.16982621717797
"EWMC",0.0413560244118207,0.142510077101063,0.325978999652339,0,0.567033785662884,0.968930834805384,0,0.122260230054503,-0.117895669734514,-0.110486649362581,-0.186610186979301,8.52833519874734,289.629515447256,17.0185050884987,0.501121288526739,13.1390736192478,12.3670352733254,15.9415908745151,152.943561451674,1.06242711602737
"EWSC",-0.318395026635941,0.126417242579362,0,0,1.14322410932666,1.11148854959929,-0.119021543150105,0.983096298454073,0,0,0,6.78884500333312,509.506696794739,22.5722550223663,0.300760601747864,10.0625617946286,17.111460011017,24.2363579040056,292.802063708633,0.588059802503701
"EXT",-0.0536270944987322,0.148041838261873,0,-0.142924533512141,0.249576708021452,1.01254640841288,0,0,0,0.153658441936638,-0.0777647072792804,8.47950370760175,231.471800658976,15.2141973386366,0.557341509306442,12.8237332246426,10.9924690651322,10.1927938218535,120.834376147889,1.16659261433076
"EZM",-0.0625814988494863,0.154320961596138,0.212375268739581,0,0.670898211997812,1.04110052989007,0,0.312158882609818,0,-0.14042841547191,-0.180742193796491,8.2663925507372,305.094169760717,17.4669450609062,0.473259205998116,13.1937069511424,12.922081055612,14.2047763154876,166.980178807806,1.0210202903357
"EZY",-0.240402122982725,0.156902438972325,0.286419428478569,0,0.783271964996834,1.00195581402534,0.184415349999439,0,-0.0650445653222779,0,0,8.14066372733273,244.291783833253,15.62983633418,0.520841264954924,11.0715727811477,10.8156500891199,11.7149809310023,116.978286850279,1.02366225699972
"FAB",-0.0830817465695131,0.314874848608461,0.329437150980585,-0.195449239650167,0.4549163469207,0.997724563089715,-0.185501578001254,0.339208601162612,0,0,-0.20692629003368,7.14016909122686,294.027872518225,17.1472409593563,0.416403379887823,11.6155722690041,13.3511646976301,20.3043470018813,178.253598783245,0.870004417746856
"FAD",-0.087644943561661,-0.183300835460688,0.111186920171282,0,0.606449417162151,0.996910520366153,0.193208888469357,0.307253094460325,0,0,-0.201641225100058,8.28911781822308,295.419931355552,17.1877843643546,0.482267966743504,11.7797614586127,11.6192894581483,10.6650631494539,135.007887512236,1.01381082733522
"FDL",0.200158845203383,-0.238760405585787,0,0.80905946437803,1.94924931641503,0.763846713711578,0,0,0.1476380612512,0,0.280137923026546,12.1008889725041,119.586476184366,10.9355601678362,1.10656324749557,13.881370923353,9.1451936852958,6.41112811086663,83.6345675415743,1.51788703454934
"FDM",0.0976136729065379,0.645090692011599,0,-0.334708134672911,1.0960225900986,0.970852174150023,0.110458180669907,1.12958749540616,0.106566357836232,0.188850535933636,0,16.3357849274177,370.337879798447,19.2441648246539,0.848869518436557,16.2998594496345,15.3674963558502,11.1983801902297,236.15994424707,1.06067111207932
"FEX",-0.049660231591041,0.0561246669127351,0.267524665588614,0,0.225380341312021,1.00333209264831,0,0,0,-0.114616645834291,-0.195590117399707,7.24843387443108,243.174482130381,15.5940527808002,0.464820401490211,12.5287641316299,11.0199468202265,12.274648273213,121.439227920619,1.13691693217921
"FLOT",0.055226445541254,0.0201531886722836,-0.0410312698452472,0,0.0254316982809903,0.0174460158227554,0,-0.0218772985282809,0,0,0,0.729216561288881,0.493966152131964,0.702827256252889,1.03754735577087,0.973174220834072,0.630957814973144,0.472870365740086,0.398107764275684,1.54237604755794
"FLRN",0.021439451928637,0,0,0,0.287225469718695,0,0,0,0,0,0,0.257577009115728,3.44670563662434,1.85653053748769,0.138741056995641,0.240484434151944,1.85653053748769,1.53622715621351,3.44670563662434,0.129534327228128
"FLTR",0.0689047412723198,0,-0.175354293944883,0,0.30191148896695,0.0791079417260057,0,-0.0641196702227323,0.0521920394749557,0,-0.0925906554256075,0.696754533076027,6.17687486297212,2.48533194221056,0.280346669691254,1.91379859244936,2.18805499201545,1.73690024260875,4.78758464808372,0.874657446651526
"FMK",-0.248766366193101,0,0,0,0.729672674090946,1.01452896117713,0,-0.271698020910562,-0.0703316971854471,0,-0.175100746147624,3.70543193057671,264.903467709646,16.2758553603074,0.227664343811589,9.6325831378014,11.4579234811394,10.6007086838317,131.284010499645,0.840691871756464
"FNK",-0.167724113149561,0.301369092192533,0.308466046817975,0,1.01763525642045,1.01409718454221,-0.194188774599455,0.365325821851231,0,-0.160562661510986,-0.167618724822612,5.90070926816983,319.180287130216,17.8656174572898,0.330282974113618,11.0344914185305,14.190709406582,20.7547807172426,201.376233462056,0.777585609174157
"FNX",-0.214955498253318,0.155418057104065,0.242971565194908,0,0.68779291687078,1.022946798857,0,0.357300439871615,0,-0.13911335022219,-0.184543017031247,6.34539090926363,302.025742988322,17.3788878524583,0.365120654620374,10.8997537019704,12.9020709065894,16.5914450402807,166.46343367866,0.844806526090601
"FNY",-0.253363826118937,0,0.233589847540136,0,1.02762221033076,0.999548947765595,0.341779258935599,0.270108408810968,-0.0919612488427193,0,-0.284219769798494,7.88959168625316,326.685686453842,18.0744484412068,0.436505252811266,10.3530889795422,12.2394677775751,13.4641769189359,149.8045714783,0.845877383533857
"FPX",0.250280383197109,-0.248130624709607,0,0,1.04454159802185,1.04554934916363,0.0919144859387006,-0.146463320053932,-0.112290345020281,-0.148810401038633,-0.313091862055815,8.77935086255324,369.336874107978,19.218139194729,0.4568262709306,15.8566899890194,13.0485586231621,15.9985472702607,170.264882142097,1.21520624974414
"FTA",-0.0163224106465058,0.293849380581217,0.307886800781208,-0.195849628779314,0.71546134888659,0.978520372313484,-0.18045418803485,0,0,0,-0.233655769225532,6.87151806806037,251.195416444494,15.8491456061358,0.43355763388281,12.1892285935162,12.1776542605438,18.0515775477657,148.29526328934,1.00095045669098
"FTC",0.0160259958343808,-0.263400461020758,0,0,0.62740713302499,0.994420129595442,0.160438904219856,0,0,0,-0.229194281600621,7.84678155522394,271.35232476107,16.4727752598362,0.476348485998951,12.7086757666549,11.0205964450636,8.56127257990642,121.453546004948,1.15317495110235
"FTCS",-0.004378405637337,0,0,0,2.21898613685034,1.01281209940596,0,-0.288409626164069,0,0,-0.324290265038291,6.40394889547915,260.130587301093,16.1285643285785,0.397056350770905,12.738994246944,11.8720298754489,12.5000090855052,140.94509336355,1.07302579092123
"FVD",0.145665386858944,-0.16023665319035,0,0.420969768058307,0.961534394804362,0.861951721368543,0,0.116529316663348,0.186428768687905,0,0,10.6162149576006,129.249216776886,11.3687825547367,0.93380402927818,14.000953998318,8.92781041633033,4.93853031453791,79.7057988299364,1.56824051423719
"FVL",-0.447445380704184,0,0,0.338372909913773,2.05730863918733,1.15719720162431,0.152843680114207,0.223584461972208,0,-0.192690233526644,0,5.7150862535559,359.474874510526,18.959822639216,0.301431419602786,10.5547805512199,13.7698417642082,14.1066880520401,189.608542211333,0.766514294932192
"FYC",-0.136010918193126,-0.108686050994395,0,0,0.917095168226994,1.02841319331621,0.214246424324305,0.97382891702912,0,0.170587267353427,0,11.4496469363035,432.306318582322,20.7919772648568,0.550676195460067,11.9729289044176,14.4389394552095,12.0638393201179,208.482972591206,0.829211102488405
"FYT",-0.150414030882488,0.392704262418898,0.371639690819414,-0.214894139387948,1.07479192833813,1.01280468890277,-0.227226191124495,0.976207486396648,0,0,0,8.66664391046985,437.921802432314,20.9265812409078,0.414145235224953,10.9871500016586,16.6196746072766,25.1285290344491,276.213584051755,0.661092967298415
"FYX",-0.161673005150226,0.239092016522154,0.278653948707341,-0.138212948511834,0.473202834896354,1.02371074343116,0,0.963731096203459,0,0,0,9.97230493160881,411.139542451072,20.2765762013973,0.491814043582052,11.6964334434268,15.1141337408038,18.3100211384536,228.437038734903,0.773873888111088
"HDV",0.0397775145245528,-0.269520943373693,0,0.645634497421735,1.50172279665403,0.819751728916779,-0.133786925473787,0,0.210263029631664,0,0.250651422813065,8.72534868663133,124.102960981163,11.1401508509159,0.783234338870191,11.7609793277832,9.3396109343171,8.01775867734107,87.2283324044156,1.25925795094624
"HYG",0.0835154336217236,0,0,0,1.64142238589587,0.316580967311778,-0.103954438288127,0,0,0,0,2.68526649883307,47.4703301273363,6.88987156101885,0.389741154831627,4.73930820794566,5.90530832090554,9.46485383712452,34.8726663649562,0.802550510558086
"HYS",0.163132765419811,0,0,0.245068200619752,0.690443552717289,0.241095497670926,0,-0.114133128394715,-0.117478187498601,0,0,3.9899895032971,30.3454864496369,5.50867374688653,0.724310367001171,5.2203907253608,4.51192972052826,8.96668886548298,20.3575098029862,1.15701951242928
"IJH",-0.03171224891215,0.134172019701555,0.251463805780276,0,0.652972514981039,0.993644182899412,0.11113285950521,0.274188795406645,0,-0.154775819940676,-0.166639789500715,9.19015478198899,270.015809160367,16.4321577755439,0.559278635680262,13.4023239036135,11.797790918038,12.628130289506,139.187870545741,1.13600283279493
"IJJ",0.0151810123754103,0.160909017516028,0.233460650798982,0.225305850450517,0.766112575896107,0.999172152177266,0,0.328326767427332,0,-0.147508507071688,-0.147946840631381,9.83261741177397,269.088190391212,16.4039077780635,0.599407015986938,14.1176862359821,12.5713169499042,14.8472753792762,158.038009854949,1.12300773994006
"IJK",-0.047102652719737,0,0.232059867406018,0,1.02469338385661,0.949909765739305,0.278284554127056,0.168116574054184,-0.117469856847304,0,-0.196362120102713,9.57947397515919,290.367405438878,17.0401703465335,0.562170082830655,12.2590799419707,11.5150613944765,11.9366446962944,132.596638918563,1.06461264269516
"IJR",0.0467509813377299,0.22402531362381,0.136505225285897,-0.152522094297066,0.29996243114132,1.00281653792,0.0541427280537903,0.885603150067812,0.0752237437405588,0,0,12.6455551899872,340.389950594839,18.4496599045847,0.685408579637004,14.7730847614498,13.6558665974254,11.6615746593166,186.482692526678,1.08181232264198
"IJS",-0.00503926980347979,0.281934312102596,0.170035064253338,0,0.458186726761877,1.0287695191031,0,0.844790466488461,0.0523188253778658,0,0,12.3324925107865,345.390301177531,18.5846792056664,0.663583824843551,14.5400177986165,14.2622105689961,13.4375358575714,203.410650314385,1.01947855336145
"IJT",0.0498406695240608,0.195698890972576,0,-0.336016204848398,0.520945445079948,0.997765782771985,0.116137926395693,0.927572041177309,0.120916185318207,0,0,12.3866388765229,351.353579949968,18.7444279707322,0.660817118338506,14.7737158591794,13.5579966843896,11.4987112788818,183.81927409392,1.08966805370218
"ILTB",0.401795227037543,-0.450338281370772,0.409341067339303,0.499282007253655,5.48473566537758,0,0.167650665558565,0,0,0,0,7.20451176019155,94.7543451910238,9.73418436187767,0.740124852001656,4.06761009759942,9.43098256964452,12.0872082699409,88.9434322289388,0.431302896337845
"ITOT",-0.0122846007953946,0,0,0,0.200438560537963,1.01907206277083,0,0,0.0444930253766667,0,0,8.47679763610312,227.537166201495,15.0843351262657,0.56196030949636,13.5392887715971,10.6114683781747,8.53624420249559,112.603261141002,1.27591095681387
