"Month","MDY","SPY","TR06","TR08","TR10","TR12"
"2012-03-01",1.01925088756081,1.03216377317972,1.00132080240562,1.00106624911265,1.00117213359235,0.999425911607578
"2012-04-01",1.01637428544011,1.0252733862718,1.00404687516688,1.00418858985428,1.00467109778815,1.00404445823644
"2012-05-01",0.950778119519453,0.963699847701563,0.99921333879677,0.997268976901886,0.997323638930667,0.999010045236546
"2012-06-01",0.969152643861489,1.00280781966098,1.01402862202505,1.01751791938184,1.02143122799237,1.02117772086735
"2012-07-01",0.968926259267673,1.01467056266128,1.02842193474277,1.03653683901637,1.04335835793131,1.04099472918184
"2012-08-01",1.00326810887253,1.04009066151673,1.03565100836485,1.04588095375153,1.05284591186639,1.04786136480562
"2012-09-01",1.02020762177445,1.06645794477237,1.04428992757415,1.05724228314868,1.06634709582921,1.06526489104958
"2012-10-01",1.01073820725824,1.04705029521094,1.04519359715673,1.05832420406844,1.06565776498416,1.06266081693959
"2012-11-01",1.03398664252401,1.05297626691789,1.04606693328663,1.05929385625039,1.06717091448799,1.06100908244763
"2012-12-01",1.05762832222807,1.06238402528414,1.05099960749446,1.06587421760998,1.07533658207927,1.06849991202066
"2013-01-01",1.13251827049984,1.11676772504366,1.05885862456727,1.07671305157695,1.08873979612508,1.08942992100732
"2013-02-01",1.14191500178577,1.13101644857906,1.0685510707769,1.09001686836634,1.10552729509884,1.10934162285038
"2013-03-01",1.19722051657644,1.17396245602657,1.07657476769634,1.1011116035384,1.11999467149853,1.13170022763219
"2013-04-01",1.20435633801513,1.19651689473951,1.08985402694333,1.11964631282864,1.14372347124498,1.16021889660088
"2013-05-01",1.23192918580132,1.22476635580172,1.08255611567205,1.10944077160765,1.13180245546837,1.14363128697203
"2013-06-01",1.20365479204642,1.20842253677107,1.06718235209848,1.08817045565902,1.10625623036315,1.12389764797518
"2013-07-01",1.2839174990809,1.27087000861419,1.08358090012163,1.1105591313784,1.1357872961703,1.17155610288571
"2013-08-01",1.23430474700289,1.23275360047897,1.06748290678247,1.08767492303995,1.10558560917039,1.13078148633877
"2013-09-01",1.30040104305529,1.27176592127004,1.0819483996282,1.10749867966827,1.13093879752329,1.16567898007991
"2013-10-01",1.34745747259556,1.33065729559184,1.10011230370725,1.13264599188706,1.16251017807591,1.20710447531041
"2013-11-01",1.36417709625582,1.37009485313149,1.11022839742142,1.14679376266546,1.18063735595732,1.22816395849023
"2013-12-01",1.40727812597586,1.40561661007131,1.11139907576704,1.14863555721192,1.18407310806399,1.23805892694132
"2014-01-01",1.37604374511819,1.35607090660586,1.11609202476771,1.15517035359136,1.18984536806872,1.2306407251489
"2014-02-01",1.44294993488619,1.41779356036437,1.13269972800204,1.17839451048534,1.22012818836747,1.26585436081272
"2014-03-01",1.44792762164382,1.42955502185015,1.14162650534656,1.19168893447009,1.23902469190111,1.28969247884356
"2014-04-01",1.42637358647071,1.4394925828481,1.1451664357589,1.19634145105336,1.24315082572737,1.29533730519775
"2014-05-01",1.44971893670486,1.47289800915085,1.15554392792985,1.21115472441551,1.26121163504785,1.31343924378909
"2014-06-01",1.51019551878824,1.50330576957994,1.16498518027641,1.22485264526108,1.28030239413659,1.34031238047545
"2014-07-01",1.44394772044448,1.4831049045533,1.15562134026797,1.21058275360453,1.26113264923084,1.31201449727619
"2014-08-01",1.51703464524367,1.541633501757,1.17485448836559,1.23870952538492,1.29866943455411,1.35977681248236
"2014-09-01",1.44816616405084,1.52036478009757,1.1563109381344,1.21137348454154,1.26168360619594,1.31523244878192
"2014-10-01",1.49928057683281,1.55617069154848,1.18020955453435,1.24635002485521,1.30851719743997,1.37603699085287
"2014-11-01",1.52681264291535,1.59892179679717,1.18293548104898,1.25004737580733,1.31216978721827,1.37961121677057
"2014-12-01",1.53953170488344,1.59486590088835,1.19736487289942,1.27196178123617,1.34436123411495,1.42096157081597
"2015-01-01",1.52261834116675,1.54761119013505,1.20679487092563,1.28541401936115,1.35922535661476,1.43004373365158
"2015-02-01",1.59919537327198,1.63459402797433,1.21067369254197,1.29092642141642,1.36713005930559,1.4401432359822
"2015-03-01",1.62051323887889,1.60892156664868,1.21732694579996,1.30012918385649,1.37828490980537,1.4470118060472
"2015-04-01",1.59660659194954,1.62474361599842,1.2106197575434,1.28945930548409,1.36247013506934,1.43116037138022
"2015-05-01",1.62314371269236,1.64563152887075,1.20694634337053,1.28313832514547,1.35257711814951,1.41566616596083
"2015-06-01",1.60215499486139,1.61220536089043,1.19977087334068,1.27270367714609,1.33980189306965,1.3993151558719
"2015-07-01",1.60385542892049,1.64862389607093,1.20731086660354,1.28377128962344,1.35336305650389,1.41411457187463
"2015-08-01",1.51301589177185,1.54813999774867,1.19438155723588,1.26435851565428,1.32677573808617,1.37613194567766
"2015-09-01",1.46462758547897,1.50863775594464,1.1935481047688,1.26400144700307,1.32344868511636,1.36889471586225
"2015-10-01",1.54595327127416,1.63696204155705,1.21530354890103,1.29574895958769,1.36671459579858,1.42989839971195
"2015-11-01",1.56660826342416,1.64294541690833,1.22434812120391,1.30879636064091,1.38487239711765,1.44434737829863
"2015-12-01",1.50085410585201,1.61455116049241,1.21354261780885,1.29318553870142,1.36217530430637,1.40860395870161
"2016-01-01",1.41772942322321,1.53416814001474,1.20338282863456,1.27724575100934,1.33994927764609,1.3848449922352
"2016-02-01",1.43527603583864,1.5329009400049,1.20948912356507,1.28633292160402,1.35313103876153,1.40647280634835
"2016-03-01",1.55703580410078,1.63601318261425,1.24457906544826,1.33718640746664,1.41846881824654,1.49301269098362
"2016-04-01",1.57558605648026,1.64246104534576,1.25871118865061,1.35679236732089,1.44452052567634,1.53411281275277
"2016-05-01",1.61096784552015,1.67040191328223,1.26236608254185,1.36126044191081,1.45019288823136,1.53805399115795
"2016-06-01",1.61848529885795,1.6762079003707,1.28424891749587,1.39310476439216,1.49080078696269,1.59325321244747
"2016-07-01",1.6871532750012,1.73734139017535,1.30473584355461,1.42327816843545,1.53173708706169,1.63976318181678
"2016-08-01",1.69488212089306,1.73942192443048,1.31109095502631,1.43157636714465,1.54380656856958,1.64804556395284
"2016-09-01",1.68490078394526,1.73952277719737,1.30841523088199,1.42713536298586,1.53835288911286,1.65085535344592
"2016-10-01",1.64013250398552,1.70936460451328,1.29529362276909,1.4059379884444,1.50792782002967,1.61140193807206
"2016-11-01",1.76942344132446,1.77233484105537,1.30443603538388,1.41960118911627,1.53464295609448,1.67012018400201
"2016-12-01",1.80797294889557,1.80826332578967,1.32551472001192,1.45114671851757,1.57904471755111,1.72899269956167
"2017-01-01",1.83775330562642,1.84062163713721,1.32914024334367,1.45557085347515,1.5817865234422,1.72207933587172
"2017-02-01",1.89383855029253,1.91512669755241,1.34423548249928,1.47762498525424,1.61007227884445,1.75193681449834
